lid,Language,geozone
1,English/Believed to be English,International (count)
2,French,International (count)
3,Portuguese,International (count)
4,Spanish,International (count)
5,Arabic,International (count)
6,Bengali,South Asian (count)
7,Urdu,South Asian (count)
8,Panjabi,South Asian (count)
9,Gujarati,South Asian (count)
10,Tamil,South Asian (count)
11,Hindi,South Asian (count)
12,Malayalam,South Asian (count)
13,Nepali,South Asian (count)
14,Sinhala,South Asian (count)
15,Konkani,South Asian (count)
16,Telugu,South Asian (count)
17,Marathi,South Asian (count)
18,Pahari,South Asian (count)
19,Sindhi,South Asian (count)
20,Balochi,South Asian (count)
21,Chinese,East Asian (count)
22,Tagalog/Filipino,East Asian (count)
23,Vietnamese,East Asian (count)
24,Japanese,East Asian (count)
25,Korean,East Asian (count)
26,Thai,East Asian (count)
27,Malay variants,East Asian (count)
28,Mongolian (Khalkha),East Asian (count)
29,Burmese/Myanma,East Asian (count)
30,Turkish,West/Central Asian (count)
31,Persian/Farsi variants,West/Central Asian (count)
32,Pashto/Pakhto,West/Central Asian (count)
33,Kurdish,West/Central Asian (count)
34,Hebrew,West/Central Asian (count)
35,Assyrian/Aramaic,West/Central Asian (count)
36,Polish,EU (count)
37,Greek,EU (count)
38,Italian,EU (count)
39,Lithuanian,EU (count)
40,German,EU (count)
41,Dutch/Flemish,EU (count)
42,Romanian,EU (count)
43,Slovak,EU (count)
44,Czech,EU (count)
45,Hungarian,EU (count)
46,Romany/English Romanes,EU (count)
47,Maltese,EU (count)
48,Romani (International),EU (count)
49,Slovenian,EU (count)
50,Welsh/Cymraeg,EU (count)
51,Albanian/Shqip,European (count)
52,Russian,European (count)
53,Serbian/Croatian/Bosnian,European (count)
54,Nordic,European (count)
55,Bulgarian,European (count)
56,Ukrainian,European (count)
57,Armenian,European (count)
58,Gaelic,European (count)
59,Latvian,European (count)
60,Macedonian,European (count)
61,Georgian,European (count)
62,Somali,North African (count)
63,Tigrinya,North African (count)
64,Amharic,North African (count)
65,Yoruba,West African (count)
66,Akan,West African (count)
67,Igbo,West African (count)
68,Ga,West African (count)
69,Krio,West African (count)
70,Edo/Bini,West African (count)
71,Wolof,West African (count)
72,Ebira,West African (count)
73,Hausa,West African (count)
74,Ewe,West African (count)
75,Urhobo-Isoko,West African (count)
76,Efik-Ibibio,West African (count)
77,Manding variants,West African (count)
78,Fula/Fulfulde-Pulaar,West African (count)
79,Mende,West African (count)
80,Esan/Ishan,West African (count)
81,Temne,West African (count)
82,Lingala,East/Southern/Central Africa (count)
83,Swahili variants,East/Southern/Central Africa (count)
84,Luganda,East/Southern/Central Africa (count)
85,Shona,East/Southern/Central Africa (count)
86,Acholi,East/Southern/Central Africa (count)
87,Katchi,East/Southern/Central Africa (count)
88,Afrikaans,East/Southern/Central Africa (count)
89,Ambo,East/Southern/Central Africa (count)
90,Ndebele,East/Southern/Central Africa (count)
91,Bemba,East/Southern/Central Africa (count)
92,Tigre,East/Southern/Central Africa (count)
93,Zulu,East/Southern/Central Africa (count)
94,Kikuyu/Gikuyu,East/Southern/Central Africa (count)
95,Luo (Kenya/Tanzania),East/Southern/Central Africa (count)
96,Dinka/Jieng,East/Southern/Central Africa (count)
97,Kinyarwanda,East/Southern/Central Africa (count)
98,Chichewa/Nyanja,East/Southern/Central Africa (count)
99,Xhosa,East/Southern/Central Africa (count)
100,Lango (Uganda),East/Southern/Central Africa (count)
101,Creoles and Pidgins,Other (count)
102,Sign Language,Other (count)
103,Guarani,Other (count)
104,Other than English,Other (count)
105,Others,Other (count)
106,Unknown,Other (count)
107,Refused,Other (count)
108,Total,Total (count)
